# sens,spec,NPV,PPV
0.9659,1.0000,0.9950,1.0000
0.9492,1.0000,0.9921,1.0000
1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000
0.8604,1.0000,0.9682,1.0000
0.8136,1.0000,0.9639,1.0000
0.9284,1.0000,0.9879,1.0000
1.0000,1.0000,1.0000,1.0000
0.9731,1.0000,0.9961,1.0000
1.0000,1.0000,1.0000,1.0000
0.9598,1.0000,0.9946,1.0000
0.8813,1.0000,0.9785,1.0000
0.9739,1.0000,0.9961,1.0000
0.9017,1.0000,0.9816,1.0000
1.0000,1.0000,1.0000,1.0000
0.8003,1.0000,0.9595,1.0000
0.8104,1.0000,0.9659,1.0000
0.9737,1.0000,0.9957,1.0000
0.9837,1.0000,0.9975,1.0000
1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000
0.8730,1.0000,0.9778,1.0000
0.9824,1.0000,0.9968,1.0000
1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000
0.8502,1.0000,0.9710,1.0000
1.0000,1.0000,1.0000,1.0000
0.9900,1.0000,0.9986,1.0000
1.0000,1.0000,1.0000,1.0000
0.9649,1.0000,0.9939,1.0000
0.9104,1.0000,0.9851,1.0000
0.9634,1.0000,0.9939,1.0000
0.9693,1.0000,0.9946,1.0000
1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000
0.9882,1.0000,0.9982,1.0000
0.9960,1.0000,0.9993,1.0000
0.9858,1.0000,0.9978,1.0000
1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000
0.9392,1.0000,0.9890,1.0000
1.0000,1.0000,1.0000,1.0000
0.9671,1.0000,0.9943,1.0000
0.9852,1.0000,0.9978,1.0000
0.8824,1.0000,0.9768,1.0000
0.8356,1.0000,0.9666,1.0000
